Year,CPI-U,Year_in_data,CPI-U_avg
1985,107.6,1986,107.6
1986,109.6,1987,109.6
1987,113.6,1988,113.6
1988,118.3,1989,118.3
1989,124,1990,124
1990,130.7,1991,130.7
1991,136.2,1992,136.2
1992,140.3,1993,140.3
1993,144.5,1994,144.5
1994,148.2,1995,148.2
1995,152.4,1996,152.4
1996,156.9,1997,156.9
1997,160.5,1999,161.75
1998,163,2001,169.4
1999,166.6,2003,178.5
2000,172.2,2005,186.45
2001,177.1,2007,198.45
2002,179.9,2009,211.3015
2003,184,2011,216.2965
2004,188.9,2013,227.2665
2005,195.3,2015,234.8465
2006,201.6,,
2007,207.3,,
2008,215.303,,
2009,214.537,,
2010,218.056,,
2011,224.939,,
2012,229.594,,
2013,232.957,,
2014,236.736,,
2015,237.017,,